title,company,location,category,salary_min,salary_max,contract_type,description,created,redirect_url,full_text,skills_found,skill_count
Business Development Manager – TW Loans| Madurai South,CSB Bank,"Madurai South, Madurai",Sales Jobs,,,,"Description Lead and manage two-wheeler business sourcing operations at the state level. Deliver outstanding customer service to support business growth and customer loyalty. Supervise frontline sales and business development teams, ensuring achievement of targets. Foster and maintain key strategic relationships with customers, dealers, corporate DSAs, and other partners. Ensure adherence to compliance standards across all activities. Uphold high quality standards in sourcing operations. Facili…",2026-05-11T02:12:57Z,https://www.adzuna.in/details/5725330853?utm_medium=api&utm_source=48e85034,"business development manager – tw loans| madurai south description lead and manage two-wheeler business sourcing operations at the state level. deliver outstanding customer service to support business growth and customer loyalty. supervise frontline sales and business development teams, ensuring achievement of targets. foster and maintain key strategic relationships with customers, dealers, corporate dsas, and other partners. ensure adherence to compliance standards across all activities. uphold high quality standards in sourcing operations. facili…","['Sales', 'Business Development', 'Customer Service']",3
Sales Manager - DM (ABCD),Financial Services,"Nungambakkam, Chennai",Sales Jobs,600000.0,900000.0,,"To drive direct sales business through lead conversion, customer acquisition, and managing a team (if applicable), ensuring achievement of revenue targets and business growth. Achieve assigned premium and revenue targets on a monthly/quarterly basis Generate leads through direct marketing activities, referrals, and campaigns Drive customer acquisition and policy conversion Focus on cross-sell and upsell opportunities Manage and develop Direct Marketing Executives (DMEs) / Sales team Monitor dai…",2026-06-25T02:24:56Z,https://www.adzuna.in/details/5775275364?utm_medium=api&utm_source=48e85034,"sales manager - dm (abcd) to drive direct sales business through lead conversion, customer acquisition, and managing a team (if applicable), ensuring achievement of revenue targets and business growth. achieve assigned premium and revenue targets on a monthly/quarterly basis generate leads through direct marketing activities, referrals, and campaigns drive customer acquisition and policy conversion focus on cross-sell and upsell opportunities manage and develop direct marketing executives (dmes) / sales team monitor dai…",['Sales'],1
HPC Software Manager,Kla,"Chennai, Tamil Nadu",IT Jobs,,,,"HPC Software Manager KLA is looking for an HPC Software Manager to build and lead a team responsible for architecting and developing the distributed software infrastructure for image computing clusters within the LS division. This pivotal role involves enabling scalable, high-performance platforms that support advanced image processing and AI workloads. Key Responsibilities Strategic Leadership : Define and drive the long-term vision and roadmap for distributed HPC software infrastructure suppo…",2026-08-21T07:39:17Z,https://www.adzuna.in/details/5850377768?utm_medium=api&utm_source=48e85034,"hpc software manager hpc software manager kla is looking for an hpc software manager to build and lead a team responsible for architecting and developing the distributed software infrastructure for image computing clusters within the ls division. this pivotal role involves enabling scalable, high-performance platforms that support advanced image processing and ai workloads. key responsibilities strategic leadership : define and drive the long-term vision and roadmap for distributed hpc software infrastructure suppo…",['Leadership'],1
Business Development Manager - Stock Broking (AP Acquisition),Finvasia Securities Pvt Ltd,"Tamil Nadu, India",Accounting & Finance Jobs,,,,"Role Overview We are seeking experienced Business Development Managers with strong exposure to the stock market brokerage ecosystem, particularly within the Authorized Persons (APs) segment. Your key responsibility will be to onboard new APs by converting existing Sub-Brokers and drive revenue growth through the cross-selling of brokerage and allied financial products. Key Responsibilities Identify, pitch, and convert Sub-Brokers / Remisiers into Shoonya Authorized Persons (APs). Achieve monthl…",2026-07-01T14:52:40Z,https://www.adzuna.in/details/5783358319?utm_medium=api&utm_source=48e85034,"business development manager - stock broking (ap acquisition) role overview we are seeking experienced business development managers with strong exposure to the stock market brokerage ecosystem, particularly within the authorized persons (aps) segment. your key responsibility will be to onboard new aps by converting existing sub-brokers and drive revenue growth through the cross-selling of brokerage and allied financial products. key responsibilities identify, pitch, and convert sub-brokers / remisiers into shoonya authorized persons (aps). achieve monthl…",['Business Development'],1
Proposal & Order Execution Specialist,Flsmidth Cement,"Chennai, Tamil Nadu",Sales Jobs,,,,"Improves customer service quality translate customer requirements into proposals and orders. Take ownership of the end-to-end process and communicate with all stakeholders. Collaborates closely with the Customer Relations Representatives, colleagues in sales and specialists in other departments on questions relating to technical issues, products, services, pricing etc during proposal and order execution. Manages processes supporting that proposal and order handling is fulfilling our customers e…",2026-07-30T07:29:23Z,https://www.adzuna.in/details/5820582346?utm_medium=api&utm_source=48e85034,"proposal & order execution specialist improves customer service quality translate customer requirements into proposals and orders. take ownership of the end-to-end process and communicate with all stakeholders. collaborates closely with the customer relations representatives, colleagues in sales and specialists in other departments on questions relating to technical issues, products, services, pricing etc during proposal and order execution. manages processes supporting that proposal and order handling is fulfilling our customers e…","['Sales', 'Customer Service']",2
DPS - Associate PM,Hitachi,"Chennai, Tamil Nadu",IT Jobs,,,,"Location: Chennai, Tamil Nadu, India Job ID: R0137723 Date Posted: 2026-07-30 Company Name: HITACHI ENERGY TECHNOLOGY SERVICES PRIVATE LIMITED Profession (Job Category): Project/Program Management Job Schedule: Full time Remote: No Job Description: The Opportunity Join a key digital quality transformation initiative focused on enhancing product traceability, quality compliance, and operational excellence across manufacturing facilities and supplier networks. In this role, you will act as the br…",2026-08-01T20:36:27Z,https://www.adzuna.in/details/5824113963?utm_medium=api&utm_source=48e85034,"dps - associate pm location: chennai, tamil nadu, india job id: r0137723 date posted: 2026-07-30 company name: hitachi energy technology services private limited profession (job category): project/program management job schedule: full time remote: no job description: the opportunity join a key digital quality transformation initiative focused on enhancing product traceability, quality compliance, and operational excellence across manufacturing facilities and supplier networks. in this role, you will act as the br…",[],0
Assistant Manager,Renault,"Chennai, Tamil Nadu",IT Jobs,,,,SAP MM resource with 5 to 7 years of experience in the following area Hands on experience in SAP S4 HANA Hands on experience in Support activities Hands on experience in development activities Enterprise structure configuration Purchasing Inventory Management Logistics Invoice verification Integration with other SAP modules Experience in analysis and Design and then Development and Testing Execute functional and security & interface scenarios (SAP and with 3rd Party systems) Basic knowledge of …,2026-08-21T07:38:35Z,https://www.adzuna.in/details/5850375121?utm_medium=api&utm_source=48e85034,assistant manager sap mm resource with 5 to 7 years of experience in the following area hands on experience in sap s4 hana hands on experience in support activities hands on experience in development activities enterprise structure configuration purchasing inventory management logistics invoice verification integration with other sap modules experience in analysis and design and then development and testing execute functional and security & interface scenarios (sap and with 3rd party systems) basic knowledge of …,['SAP'],1
Algorithm Developer,Applied Materials,"Chennai, Tamil Nadu",Scientific & QA Jobs,,,,Who We Are Applied Materials is the global leader in materials science and engineering solutions that are at the foundation of virtually every new semiconductor chip and advanced display in the world. The equipment that we create and service is essential to advancing AI and accelerating the commercialization of next-generation semiconductor chips. Join us and push the boundaries of materials science and engineering in a company at the foundation of the electronics industry. The work we do toget…,2026-08-31T11:08:12Z,https://www.adzuna.in/details/5862780826?utm_medium=api&utm_source=48e85034,algorithm developer who we are applied materials is the global leader in materials science and engineering solutions that are at the foundation of virtually every new semiconductor chip and advanced display in the world. the equipment that we create and service is essential to advancing ai and accelerating the commercialization of next-generation semiconductor chips. join us and push the boundaries of materials science and engineering in a company at the foundation of the electronics industry. the work we do toget…,[],0
CIS Automation and Orchestration Engineer,LTM,"Chennai, Tamil Nadu",IT Jobs,,,,Design implement and maintain automation workflows using Python Shell Scripting and Ansible Build and manage CICD pipelines with Jenkins to streamline deployment and integration processes Operate confidently with Linux environments as a power user with the ability to troubleshoot script and operate effectively without requiring adminlevel expertise Collaborate with crossfunctional teams to support develop and release automation Read and interpret technical documentation to understand new tools …,2026-08-21T07:13:08Z,https://www.adzuna.in/details/5850339594?utm_medium=api&utm_source=48e85034,cis automation and orchestration engineer design implement and maintain automation workflows using python shell scripting and ansible build and manage cicd pipelines with jenkins to streamline deployment and integration processes operate confidently with linux environments as a power user with the ability to troubleshoot script and operate effectively without requiring adminlevel expertise collaborate with crossfunctional teams to support develop and release automation read and interpret technical documentation to understand new tools …,['Python'],1
Integrated Security and Communication systems - HVDC,Hitachi,"Chennai, Tamil Nadu","Energy, Oil & Gas Jobs",,,,"Location: Chennai, Tamil Nadu, India Job ID: R0139926 Date Posted: 2026-09-08 Company Name: HITACHI ENERGY TECHNOLOGY SERVICES PRIVATE LIMITED Profession (Job Category): Engineering & Science Job Schedule: Full time Remote: No Job Description: The opportunity: The Integrated Security and Communication systems Engineer shall analyse customer specification to ensure Hitachi Energy solution meets the customer requirements. How you'll make an impact: Analyse customer specification to ensure Hitachi…",2026-09-10T21:38:46Z,https://www.adzuna.in/details/5878706714?utm_medium=api&utm_source=48e85034,"integrated security and communication systems - hvdc location: chennai, tamil nadu, india job id: r0139926 date posted: 2026-09-08 company name: hitachi energy technology services private limited profession (job category): engineering & science job schedule: full time remote: no job description: the opportunity: the integrated security and communication systems engineer shall analyse customer specification to ensure hitachi energy solution meets the customer requirements. how you'll make an impact: analyse customer specification to ensure hitachi…",[],0
Engineer - Optics,Valeo,"Chennai, Tamil Nadu",Engineering Jobs,,,,Validates the Optic feasibility.Propose technical solutions to make our offer attractive and competitive. Participate to the design of product and design the optical component including. Is responsible of the mock-up realization taking into account that specifications given to prototype department and asked delays are conform to VALEO standards quality. Is in charge of mock-up or initial sample characterization to check that they are conform to specification. Ensure permanent match between cust…,2026-08-07T07:30:29Z,https://www.adzuna.in/details/5831400726?utm_medium=api&utm_source=48e85034,engineer - optics validates the optic feasibility.propose technical solutions to make our offer attractive and competitive. participate to the design of product and design the optical component including. is responsible of the mock-up realization taking into account that specifications given to prototype department and asked delays are conform to valeo standards quality. is in charge of mock-up or initial sample characterization to check that they are conform to specification. ensure permanent match between cust…,[],0
SWPO,Visteon Corporation,"Chennai, Tamil Nadu",IT Jobs,,,,"Enabling a software-defined, electrified future. Visteon is a technology company that develops and builds innovative digital cockpit and electrification products at the leading-edge of the mobility revolution. Founded in 2000, Visteon brings decades of automotive intelligence combined with Silicon Valley speed to apply global insights that help transform the software-defined vehicle of the future for many of the world’s largest OEMs. The company employs 10,000 employees in 18 countries around t…",2026-09-03T16:08:28Z,https://www.adzuna.in/details/5868701896?utm_medium=api&utm_source=48e85034,"swpo enabling a software-defined, electrified future. visteon is a technology company that develops and builds innovative digital cockpit and electrification products at the leading-edge of the mobility revolution. founded in 2000, visteon brings decades of automotive intelligence combined with silicon valley speed to apply global insights that help transform the software-defined vehicle of the future for many of the world’s largest oems. the company employs 10,000 employees in 18 countries around t…",[],0
Sr Principal Engineer,Ingram Micro,"Chennai, Tamil Nadu",IT Jobs,,,,"It's fun to work in a company where people truly BELIEVE in what they're doing! Job Description: As a Sr. Principal Engineer, you will lead the design, stabilization, and delivery of scalable, secure, and high-performance enterprise solutions across the full stack using C#, .NET, SQL Server, Angular, and Azure Cloud. You will provide technical leadership in architecture, development, and deployment while mentoring engineering teams and collaborating closely with Product, Infrastructure, and bus…",2026-08-09T20:50:44Z,https://www.adzuna.in/details/5834756035?utm_medium=api&utm_source=48e85034,"sr principal engineer it's fun to work in a company where people truly believe in what they're doing! job description: as a sr. principal engineer, you will lead the design, stabilization, and delivery of scalable, secure, and high-performance enterprise solutions across the full stack using c#, .net, sql server, angular, and azure cloud. you will provide technical leadership in architecture, development, and deployment while mentoring engineering teams and collaborating closely with product, infrastructure, and bus…","['SQL', 'Leadership']",2
"Associate / Lead, Enovia PLM",Kla,"Chennai, Tamil Nadu",IT Jobs,,,,"Associate / Lead, Enovia PLM KLA is seeking an Associate / Lead, Enovia PLM to join our team. This role is perfect for a professional with deep expertise in developing and configuring solutions on the Enovia 3D Experience platform , particularly with CAD integrations, to optimize our product lifecycle management processes. Responsibilities Develop and configure solutions on the Enovia 3DExperience platform. Work with CAD Integrations with Enovia PLM , including major CAD / PDM systems like Creo…",2026-08-21T07:39:18Z,https://www.adzuna.in/details/5850377827?utm_medium=api&utm_source=48e85034,"associate / lead, enovia plm associate / lead, enovia plm kla is seeking an associate / lead, enovia plm to join our team. this role is perfect for a professional with deep expertise in developing and configuring solutions on the enovia 3d experience platform , particularly with cad integrations, to optimize our product lifecycle management processes. responsibilities develop and configure solutions on the enovia 3dexperience platform. work with cad integrations with enovia plm , including major cad / pdm systems like creo…",[],0
Visualiser / Video Animator,Cedilla Interactive,"Chennai, Tamil Nadu",Creative & Design Jobs,,,,"AI Video Editor & Creator Location: Thiruvanmiyur, Chennai Job Type: Full-time Experience: 2 years (preferred) Industry: Branding / Advertising / Digital Media About the Role We’re looking for a creative and innovative AI Video Creator & Editor to join our creative team. The ideal candidate should be passionate about creating engaging videos using AI tools, video editing, motion graphics, and visual storytelling . You will be responsible for taking ideas, scripts, and creative briefs and turnin…",2026-09-04T16:58:18Z,https://www.adzuna.in/land/ad/5870528541?se=kBurSBSu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=C72CB02E23DC211C14F038D6754B69620D937B6F,"visualiser / video animator ai video editor & creator location: thiruvanmiyur, chennai job type: full-time experience: 2 years (preferred) industry: branding / advertising / digital media about the role we’re looking for a creative and innovative ai video creator & editor to join our creative team. the ideal candidate should be passionate about creating engaging videos using ai tools, video editing, motion graphics, and visual storytelling . you will be responsible for taking ideas, scripts, and creative briefs and turnin…",[],0
Electrician,GKF,"Madurai South, Madurai",Engineering Jobs,20000.0,20000.0,,"Job Summary: We are looking for a skilled Electrician to install, maintain, and repair electrical systems and equipment in the hospital. The candidate should ensure safe and uninterrupted electrical operations and attend to electrical issues promptly. Key Responsibilities: * Install, maintain, and repair electrical wiring and equipment. * Attend electrical breakdowns and resolve issues quickly. * Perform routine maintenance of electrical panels, lighting, UPS, and generators. * Monitor power su…",2026-08-13T23:10:54Z,https://www.adzuna.in/details/5840603337?utm_medium=api&utm_source=48e85034,"electrician job summary: we are looking for a skilled electrician to install, maintain, and repair electrical systems and equipment in the hospital. the candidate should ensure safe and uninterrupted electrical operations and attend to electrical issues promptly. key responsibilities: * install, maintain, and repair electrical wiring and equipment. * attend electrical breakdowns and resolve issues quickly. * perform routine maintenance of electrical panels, lighting, ups, and generators. * monitor power su…",[],0
Oracle Fusion HCM-Techno Functional Consultant,Photon Group,"Chennai, Tamil Nadu",IT Jobs,,,,"Description Atleast 5 years of experience in Fusion Oracle HCM cloud implementation/Production support as a technical resource Knowledge in writing approval rules ans configuring DFFs and EFFs, solution designing, POC, Troubleshooting of issues/problems In-depth Understanding of Data Model and Business Process functionality and it's data flow in Fusion HCM Application. Experience on Fusion HCM integrations,reporting and Production support Should have experience in Fusion HCM technologies like H…",2026-09-09T21:36:19Z,https://www.adzuna.in/details/5877292773?utm_medium=api&utm_source=48e85034,"oracle fusion hcm-techno functional consultant description atleast 5 years of experience in fusion oracle hcm cloud implementation/production support as a technical resource knowledge in writing approval rules ans configuring dffs and effs, solution designing, poc, troubleshooting of issues/problems in-depth understanding of data model and business process functionality and it's data flow in fusion hcm application. experience on fusion hcm integrations,reporting and production support should have experience in fusion hcm technologies like h…",[],0
Lead Assistant Manager-Auditors-DRG,EXL,"Chennai, Tamil Nadu",IT Jobs,,,,"Description Medical Coding Team Lead – Surgery & Payment Integrity is responsible for overseeing a team of medical coding specialists to ensure accurate, compliant, and timely auditing of surgical procedures across multiple specialties. This role demands strong technical expertise in CPT, ICD-10, and HCPCS coding, particularly within DRG coding domains Team Leadership & Management: Lead, mentor, and manage a team of medical coding specialists to deliver high-quality auditing outcomes. Foster a …",2026-08-29T20:43:07Z,https://www.adzuna.in/details/5861217354?utm_medium=api&utm_source=48e85034,"lead assistant manager-auditors-drg description medical coding team lead – surgery & payment integrity is responsible for overseeing a team of medical coding specialists to ensure accurate, compliant, and timely auditing of surgical procedures across multiple specialties. this role demands strong technical expertise in cpt, icd-10, and hcpcs coding, particularly within drg coding domains team leadership & management: lead, mentor, and manage a team of medical coding specialists to deliver high-quality auditing outcomes. foster a …","['Auditing', 'Leadership']",2
Software Engineer,mazenet,"Chennai, Tamil Nadu",Admin Jobs,300000.0,400000.0,,"2018 & 2019 batches of BE/B.Tech – CS/CE/IT/E&C/E&TC/Telecom/Communications/Electronics or MCA and other circuit branches of relevance to corporations and industry qualifying degrees. Candidate must have graduated the qualifying course in 2018 without any backlog. Candidates graduated in 2019, meeting the criteria, also stand eligible. Candidate should have scored a minimum of 60% in SSC/10th, HSC/12th/Diploma, and UG/PG as applicable. Not more than a gap year since SSC, meaning no loss of the …",2019-12-11T13:24:26Z,https://www.adzuna.in/details/1369933152?utm_medium=api&utm_source=48e85034,"software engineer 2018 & 2019 batches of be/b.tech – cs/ce/it/e&c/e&tc/telecom/communications/electronics or mca and other circuit branches of relevance to corporations and industry qualifying degrees. candidate must have graduated the qualifying course in 2018 without any backlog. candidates graduated in 2019, meeting the criteria, also stand eligible. candidate should have scored a minimum of 60% in ssc/10th, hsc/12th/diploma, and ug/pg as applicable. not more than a gap year since ssc, meaning no loss of the …",[],0
Control design Engineer,Hitachi,"Chennai, Tamil Nadu",IT Jobs,,,,"Location: Chennai, Tamil Nadu, India Job ID: R0130192 Date Posted: 2026-06-04 Company Name: HITACHI ENERGY TECHNOLOGY SERVICES PRIVATE LIMITED Profession (Job Category): Engineering & Science Job Schedule: Full time Remote: No Job Description: The opportunity: We the Power Conversion (PC) Solutions team at Indian Operation Center, Hitachi Energy Technology Services Pvt Ltd, Chennai help our clients with our state-of-the-art power converter solutions in a varied range of applications. With our c…",2026-06-27T02:34:43Z,https://www.adzuna.in/details/5778185148?utm_medium=api&utm_source=48e85034,"control design engineer location: chennai, tamil nadu, india job id: r0130192 date posted: 2026-06-04 company name: hitachi energy technology services private limited profession (job category): engineering & science job schedule: full time remote: no job description: the opportunity: we the power conversion (pc) solutions team at indian operation center, hitachi energy technology services pvt ltd, chennai help our clients with our state-of-the-art power converter solutions in a varied range of applications. with our c…",[],0
Senior - GBS Advisory,BSR & Co,"Chennai, Tamil Nadu",HR & Recruitment Jobs,,,,"Description About KPMG in India KPMG entities in India are professional services firm(s). These Indian member firms are affiliated with KPMG International Limited. KPMG was established in India in August 1993. Our professionals leverage the global network of firms, and are conversant with local laws, regulations, markets and competition. KPMG has offices across India in Ahmedabad, Bengaluru, Chandigarh, Chennai, Gurugram, Jaipur, Hyderabad, Jaipur, Kochi, Kolkata, Mumbai, Noida, Pune, Vadodara …",2026-06-27T02:31:02Z,https://www.adzuna.in/details/5778164912?utm_medium=api&utm_source=48e85034,"senior - gbs advisory description about kpmg in india kpmg entities in india are professional services firm(s). these indian member firms are affiliated with kpmg international limited. kpmg was established in india in august 1993. our professionals leverage the global network of firms, and are conversant with local laws, regulations, markets and competition. kpmg has offices across india in ahmedabad, bengaluru, chandigarh, chennai, gurugram, jaipur, hyderabad, jaipur, kochi, kolkata, mumbai, noida, pune, vadodara …",[],0
Software Developer,Sardonyx Technologies,"Chennai, Tamil Nadu",IT Jobs,,,,"Responsibilities: C -Language, Basic software skills Minimum Qualification: ME, MTech, BE, BTech, MCA, MSc, (Comp. Science). Having good Analytical, Aptitude knowledge and Academic profile. Having good logical skills and good problem solving skills. Understand well & analyze new business requirements and determine appropriate technical solutions keeping mind the latest technology trends in mind. Should Possess good working experience in implementing Object Oriented design using Mvc, Domain Driv…",2026-08-28T07:37:35Z,https://www.adzuna.in/details/5859122757?utm_medium=api&utm_source=48e85034,"software developer responsibilities: c -language, basic software skills minimum qualification: me, mtech, be, btech, mca, msc, (comp. science). having good analytical, aptitude knowledge and academic profile. having good logical skills and good problem solving skills. understand well & analyze new business requirements and determine appropriate technical solutions keeping mind the latest technology trends in mind. should possess good working experience in implementing object oriented design using mvc, domain driv…",['Problem Solving'],1
Senior LLM and Agentic AI Engineer - Assistant Vice President,Citigroup,"Chennai, Tamil Nadu",IT Jobs,,,,"About the Role We are looking for a hands-on Senior AI Engineer to design, build, and scale next-generation AI-powered digital experiences. You will work on cutting-edge Generative AI, Agentic AI, Conversational AI, and Machine Learning solutions that enhance customer engagement, automate workflows, and deliver personalized experiences at scale. This role is ideal for engineers passionate about building production-grade AI systems using Large Language Models (LLMs), Retrieval-Augmented Generati…",2026-06-06T10:17:54Z,https://www.adzuna.in/details/5754024257?utm_medium=api&utm_source=48e85034,"senior llm and agentic ai engineer - assistant vice president about the role we are looking for a hands-on senior ai engineer to design, build, and scale next-generation ai-powered digital experiences. you will work on cutting-edge generative ai, agentic ai, conversational ai, and machine learning solutions that enhance customer engagement, automate workflows, and deliver personalized experiences at scale. this role is ideal for engineers passionate about building production-grade ai systems using large language models (llms), retrieval-augmented generati…",['Machine Learning'],1
Engineering Professional - Mechanical Component,Baker Hughes,"Coimbatore, Tamil Nadu",Engineering Jobs,,,,"Join our team! Are you seeking an opportunity to make a real difference in a company with a global reach and exciting services and clients? Come join us and grow with a team of people who will energize and inspire you! Baker Hughes Company is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics prot…",2026-08-28T16:06:02Z,https://www.adzuna.in/details/5859583009?utm_medium=api&utm_source=48e85034,"engineering professional - mechanical component join our team! are you seeking an opportunity to make a real difference in a company with a global reach and exciting services and clients? come join us and grow with a team of people who will energize and inspire you! baker hughes company is an equal opportunity employer. employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics prot…",[],0
Senior Lead Generation Specialist,Ciklum,"Chennai, Tamil Nadu",Sales Jobs,,,,"Responsibilities Make outbound cold calls, email and LinkedIn campaigns to the targeted list of prospects (ICP) Pitch Ciklum value proposition for consulting digital engineering work to companies in the North American region Talk to influencers and decision makers involved in procuring IT/Digital Engineering services and schedule Conference calls Qualify prospects and identify potential opportunities Regular follow-ups with the prospects that have been identified as potential clients and who ha…",2026-08-29T07:41:08Z,https://www.adzuna.in/details/5860540178?utm_medium=api&utm_source=48e85034,"senior lead generation specialist responsibilities make outbound cold calls, email and linkedin campaigns to the targeted list of prospects (icp) pitch ciklum value proposition for consulting digital engineering work to companies in the north american region talk to influencers and decision makers involved in procuring it/digital engineering services and schedule conference calls qualify prospects and identify potential opportunities regular follow-ups with the prospects that have been identified as potential clients and who ha…",['Lead Generation'],1
Intern Talent Acquisition,Onward Technologies Limited,"Chennai, Tamil Nadu",HR & Recruitment Jobs,,,,"Onward Technologies Ltd, Chennai is looking for enthusiastic and talented individuals to join our team as Talent Acquisition Interns! Qualifications: Graduation in Engineering & MBA HRM Excellent communication skills What You'll Do: Assist in the recruitment process Sourcing and screening Coordinate interviews Support various HR initiatives Why Join Us Gain hands-on experience in Talent acquisition Work with a dynamic and supportive team Opportunity for growth and learning If you're passionate …",2026-08-28T07:35:40Z,https://www.adzuna.in/details/5859117376?utm_medium=api&utm_source=48e85034,"intern talent acquisition onward technologies ltd, chennai is looking for enthusiastic and talented individuals to join our team as talent acquisition interns! qualifications: graduation in engineering & mba hrm excellent communication skills what you'll do: assist in the recruitment process sourcing and screening coordinate interviews support various hr initiatives why join us gain hands-on experience in talent acquisition work with a dynamic and supportive team opportunity for growth and learning if you're passionate …","['Human Resources', 'Talent Acquisition', 'Recruiting', 'Communication Skills']",4
Sr. C# Developer with Mortgage Domain Experience,Cognizant,"Chennai, Tamil Nadu",IT Jobs,,,,Job Summary Serve as a senior functional analyst in the ISG organization translating complex business needs into scalable cloud enabled solutions using AWS and Azure within a hybrid work model. Collaborate with cross functional teams to design validate and enhance digital products that improve operational efficiency strengthen customer experience and support sustainable business growth across global markets. Responsibilities  Collaborate with business stakeholders to elicit analyze and document…,2026-08-20T11:16:52Z,https://www.adzuna.in/details/5849325808?utm_medium=api&utm_source=48e85034,sr. c# developer with mortgage domain experience job summary serve as a senior functional analyst in the isg organization translating complex business needs into scalable cloud enabled solutions using aws and azure within a hybrid work model. collaborate with cross functional teams to design validate and enhance digital products that improve operational efficiency strengthen customer experience and support sustainable business growth across global markets. responsibilities  collaborate with business stakeholders to elicit analyze and document…,[],0
Lead Electrical & Instrumentation Engineer,FLS Global,"Chennai, Tamil Nadu",Engineering Jobs,,,,"Lead Electrical & Instrumentation Engineer Join the leading brand in mining as a Lead Electrical & Instrumentation Engineer. Take ownership of Filtration and Flotation projects across our Separation product line, working alongside a talented, ambitious team who count on you to deliver. Seize the opportunity to lead, learn and grow your potential with us in Chennai. Short department description Electrical & Instrumentation designs for Filtration and Flotation products, supporting the Seperation …",2026-09-02T21:35:43Z,https://www.adzuna.in/details/5867238348?utm_medium=api&utm_source=48e85034,"lead electrical & instrumentation engineer lead electrical & instrumentation engineer join the leading brand in mining as a lead electrical & instrumentation engineer. take ownership of filtration and flotation projects across our separation product line, working alongside a talented, ambitious team who count on you to deliver. seize the opportunity to lead, learn and grow your potential with us in chennai. short department description electrical & instrumentation designs for filtration and flotation products, supporting the seperation …",[],0
"Product Manager, Amazon Payment Services",Amazon,"Chennai, Tamil Nadu",IT Jobs,,,,"Description Amazon Payment Services( earlier Payfort) serves the needs of online shoppers in Arabic speaking and surrounding countries through our trusted, secure payment network that gives everyone the opportunity to shop online safely and easily. We build trust between buyers and online sellers by enabling consumers to transact online using the payment options they prefer with complete security and peace of mind while supporting the most popular payment methods available globally. Amazon Paym…",2026-08-20T16:03:29Z,https://www.adzuna.in/details/5849523921?utm_medium=api&utm_source=48e85034,"product manager, amazon payment services description amazon payment services( earlier payfort) serves the needs of online shoppers in arabic speaking and surrounding countries through our trusted, secure payment network that gives everyone the opportunity to shop online safely and easily. we build trust between buyers and online sellers by enabling consumers to transact online using the payment options they prefer with complete security and peace of mind while supporting the most popular payment methods available globally. amazon paym…",[],0
Software Testing Intern Chennai,Important Group,"Chennai, Tamil Nadu",IT Jobs,,,,We are looking for a dedicated and detailoriented Software Testing Intern to join our team The intern will work closely with the development and QA teams to test applications identify bugs and ensure the overall quality of our software products Job Title Software Testing Intern Stipend 10 000 per month Duration 3 Months extendable up to 6 months based on project completion Requirements Key Responsibilities Execute test cases manual or automated and analyze results Identify record and document t…,2026-08-18T07:15:47Z,https://www.adzuna.in/details/5845820673?utm_medium=api&utm_source=48e85034,software testing intern chennai we are looking for a dedicated and detailoriented software testing intern to join our team the intern will work closely with the development and qa teams to test applications identify bugs and ensure the overall quality of our software products job title software testing intern stipend 10 000 per month duration 3 months extendable up to 6 months based on project completion requirements key responsibilities execute test cases manual or automated and analyze results identify record and document t…,[],0
"Data Scientist - Python, GCP, Data Mining, Machine Learning, Computer Vision",UPS,"Chennai, Tamil Nadu",IT Jobs,,,,"Before you apply to a job, select your language preference from the options available at the top right of this page. Explore your next opportunity at a Fortune Global 500 organization. Envision innovative possibilities, experience our rewarding culture, and work with talented teams that help you become better every day. We know what it takes to lead UPS into tomorrow-people with a unique combination of skill  passion. If you have the qualities and drive to lead yourself or teams, there are role…",2026-04-29T09:49:49Z,https://www.adzuna.in/details/5713353462?utm_medium=api&utm_source=48e85034,"data scientist - python, gcp, data mining, machine learning, computer vision before you apply to a job, select your language preference from the options available at the top right of this page. explore your next opportunity at a fortune global 500 organization. envision innovative possibilities, experience our rewarding culture, and work with talented teams that help you become better every day. we know what it takes to lead ups into tomorrow-people with a unique combination of skill  passion. if you have the qualities and drive to lead yourself or teams, there are role…","['Python', 'Machine Learning']",2
IOS Developer,,"Chennai, Tamil Nadu",IT Jobs,,,,"Job Description: iOS Junior developerResponsibility Expert in cocoa pod and iphone SDK Good working knowledge on swift latest version Maintain high performance, reusable, and reliable code Work on bug fixing and improving application performance Continuously discover, evaluate, and implement new technologies to maximize development efficiency Translate designs and wireframes into high quality code ( Requirements )Have published at least one IOS app Experience working with constraints, remote da…",2024-05-10T07:39:04Z,https://www.adzuna.in/details/4686706750?utm_medium=api&utm_source=48e85034,"ios developer job description: ios junior developerresponsibility expert in cocoa pod and iphone sdk good working knowledge on swift latest version maintain high performance, reusable, and reliable code work on bug fixing and improving application performance continuously discover, evaluate, and implement new technologies to maximize development efficiency translate designs and wireframes into high quality code ( requirements )have published at least one ios app experience working with constraints, remote da…",[],0
